Downloaded from wid.world on 23-09-2025 at 20:48:26
Percentile ;Year ;"aptinc_999_j_US
Pre-tax national income 
P6-10 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
USA"
p6p10;1980;8994.825
p6p10;1981;8416.525
p6p10;1982;7263.282
p6p10;1983;6232.4448
p6p10;1984;6919.0298
p6p10;1985;6762.3308
p6p10;1986;6265.3275
p6p10;1987;6454.9237
p6p10;1988;6427.2315
p6p10;1989;6655.935
p6p10;1990;6045.57
p6p10;1991;5625.71
p6p10;1992;5432.733
p6p10;1993;5478.912
p6p10;1994;5972.2415
p6p10;1995;5942.792
p6p10;1996;5798.9663
p6p10;1997;6009.6313
p6p10;1998;6239.695
p6p10;1999;6429.1325
p6p10;2000;6260.628
p6p10;2001;6604.8763
p6p10;2002;6776.901
p6p10;2003;6273.465
p6p10;2004;6261.256
p6p10;2005;6212.927
p6p10;2006;5535.2835
p6p10;2007;6086.6025
p6p10;2008;5537.945
p6p10;2009;5102.2372
p6p10;2010;4882.0688
p6p10;2011;4762.836
p6p10;2012;4249.833
p6p10;2013;5271.0775
p6p10;2014;4747.1598
p6p10;2015;4609.8195
p6p10;2016;3956.8355
p6p10;2017;4033.263
p6p10;2018;4109.1063
p6p10;2019;4361.77
p11p15;1980;12592.755
p11p15;1981;12301.075
p11p15;1982;11270.61
p11p15;1983;10429.8055
p11p15;1984;10989.0473
p11p15;1985;11040.54
p11p15;1986;10581.442
p11p15;1987;10901.649
p11p15;1988;10911.3465
p11p15;1989;11042.8013
p11p15;1990;10730.8868
p11p15;1991;10511.195
p11p15;1992;10110.9198
p11p15;1993;10196.864
p11p15;1994;11001.4975
p11p15;1995;10600.656
p11p15;1996;10935.1935
p11p15;1997;10989.04
p11p15;1998;11766.282
p11p15;1999;11756.128
p11p15;2000;11952.108
p11p15;2001;11888.7772
p11p15;2002;12236.0713
p11p15;2003;11976.615
p11p15;2004;12131.1835
p11p15;2005;12025.02
p11p15;2006;11890.609
p11p15;2007;11970.3183
p11p15;2008;11471.4575
p11p15;2009;11149.3333
p11p15;2010;11326.3995
p11p15;2011;10716.381
p11p15;2012;10523.396
p11p15;2013;11555.8238
p11p15;2014;11145.5055
p11p15;2015;11315.0115
p11p15;2016;10620.9795
p11p15;2017;11038.404
p11p15;2018;11462.2437
p11p15;2019;11994.8675
p16p20;1980;15548.1975
p16p20;1981;15538.2
p16p20;1982;14777.022
p16p20;1983;14245.588
p16p20;1984;14516.3957
p16p20;1985;14766.7222
p16p20;1986;14479.868
p16p20;1987;14918.046
p16p20;1988;14947.05
p16p20;1989;15127.125
p16p20;1990;15113.925
p16p20;1991;14804.5
p16p20;1992;14336.3787
p16p20;1993;14458.24
p16p20;1994;15244.9322
p16p20;1995;14937.288
p16p20;1996;15408.6818
p16p20;1997;15453.3375
p16p20;1998;16401.484
p16p20;1999;16348.3655
p16p20;2000;16884.724
p16p20;2001;16795.2568
p16p20;2002;17130.4998
p16p20;2003;17299.555
p16p20;2004;17218.454
p16p20;2005;17235.862
p16p20;2006;17220.882
p16p20;2007;17448.2605
p16p20;2008;17207.1863
p16p20;2009;16440.5423
p16p20;2010;16989.5992
p16p20;2011;16471.4745
p16p20;2012;16392.213
p16p20;2013;17029.635
p16p20;2014;17131.0547
p16p20;2015;17601.129
p16p20;2016;16452.1055
p16p20;2017;18043.545
p16p20;2018;18166.575
p16p20;2019;18755.611
p21p25;1980;19146.1275
p21p25;1981;18904.81
p21p25;1982;17907.747
p21p25;1983;17298.214
p21p25;1984;17772.4098
p21p25;1985;17940.8775
p21p25;1986;17682.1465
p21p25;1987;18217.2292
p21p25;1988;18235.401
p21p25;1989;18455.0925
p21p25;1990;18438.9885
p21p25;1991;18061.49
p21p25;1992;17505.473
p21p25;1993;17654.272
p21p25;1994;18388.2172
p21p25;1995;18310.224
p21p25;1996;18556.692
p21p25;1997;18887.4125
p21p25;1998;19788.747
p21p25;1999;20022.1555
p21p25;2000;20489.328
p21p25;2001;20946.8933
p21p25;2002;20895.4448
p21p25;2003;21101.655
p21p25;2004;20936.0747
p21p25;2005;20843.368
p21p25;2006;20911.071
p21p25;2007;21303.1087
p21p25;2008;20965.0775
p21p25;2009;19653.062
p21p25;2010;20309.406
p21p25;2011;19845.15
p21p25;2012;19427.808
p21p25;2013;20273.375
p21p25;2014;20227.0285
p21p25;2015;21163.2623
p21p25;2016;19992.432
p21p25;2017;22076.808
p21p25;2018;21843.1438
p21p25;2019;22681.204
p1p5;1980;3726.4275
p1p5;1981;3366.61
p1p5;1982;2629.809
p1p5;1983;2162.2767
p1p5;1984;2577.6778
p1p5;1985;2346.1147
p1p5;1986;2088.4425
p1p5;1987;2151.6412
p1p5;1988;2092.587
p1p5;1989;2269.0687
p1p5;1990;1964.8102
p1p5;1991;1776.54
p1p5;1992;1810.911
p1p5;1993;1826.304
p1p5;1994;2043.1352
p1p5;1995;1927.392
p1p5;1996;1822.5322
p1p5;1997;2060.445
p1p5;1998;1961.047
p1p5;1999;2204.274
p1p5;2000;2086.876
p1p5;2001;2264.529
p1p5;2002;2258.967
p1p5;2003;1901.05
p1p5;2004;1956.6425
p1p5;2005;2004.17
p1p5;2006;1640.084
p1p5;2007;1825.9807
p1p5;2008;1384.4862
p1p5;2009;1322.8022
p1p5;2010;1171.6965
p1p5;2011;992.2575
p1p5;2012;809.492
p1p5;2013;1419.1362
p1p5;2014;1031.9912
p1p5;2015;838.149
p1p5;2016;624.7635
p1p5;2017;636.831
p1p5;2018;648.8062
p1p5;2019;654.2655
