Downloaded from wid.world on 25-09-2025 at 22:39:53
Percentile ;Year ;"aptinc_999_j_US
Pre-tax national income 
P76-80 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
USA"
p76p80;1980;66561.705
p76p80;1981;67332.2
p76p80;1982;65745.225
p76p80;1983;66903.3865
p76p80;1984;69732.9665
p76p80;1985;70797.4628
p76p80;1986;72817.0285
p76p80;1987;73299.2453
p76p80;1988;73987.8975
p76p80;1989;76089.4388
p76p80;1990;75871.9035
p76p80;1991;75354.905
p76p80;1992;76209.1713
p76p80;1993;77617.92
p76p80;1994;79839.439
p76p80;1995;81271.696
p76p80;1996;82345.3208
p76p80;1997;84649.9488
p76p80;1998;86820.899
p76p80;1999;88905.718
p76p80;2000;90873.964
p76p80;2001;91902.1352
p76p80;2002;92617.647
p76p80;2003;93911.87
p76p80;2004;95484.154
p76p80;2005;96600.994
p76p80;2006;97584.998
p76p80;2007;96979.8665
p76p80;2008;95727.335
p76p80;2009;94107.9315
p76p80;2010;95102.6992
p76p80;2011;96645.8805
p76p80;2012;96329.548
p76p80;2013;97717.6675
p76p80;2014;98658.3635
p76p80;2015;100577.88
p76p80;2016;100586.9235
p76p80;2017;100619.298
p76p80;2018;101862.5813
p76p80;2019;102283.5065
p81p85;1980;74785.545
p81p85;1981;75360.27
p81p85;1982;73634.652
p81p85;1983;75425.3008
p81p85;1984;79094.0067
p81p85;1985;80457.9353
p81p85;1986;82284.6345
p81p85;1987;83053.3523
p81p85;1988;84002.421
p81p85;1989;86224.6125
p81p85;1990;86300.5118
p81p85;1991;85866.1
p81p85;1992;86923.728
p81p85;1993;88423.552
p81p85;1994;91155.265
p81p85;1995;93157.28
p81p85;1996;94771.677
p81p85;1997;97356.0263
p81p85;1998;100013.397
p81p85;1999;102498.741
p81p85;2000;104912.948
p81p85;2001;106055.4415
p81p85;2002;106547.9435
p81p85;2003;108169.745
p81p85;2004;109963.3085
p81p85;2005;112033.103
p81p85;2006;113370.8065
p81p85;2007;112602.1463
p81p85;2008;111154.4675
p81p85;2009;109225.6715
p81p85;2010;110725.3193
p81p85;2011;112720.452
p81p85;2012;112721.761
p81p85;2013;114544.5688
p81p85;2014;116202.2148
p81p85;2015;118179.009
p81p85;2016;118080.3015
p81p85;2017;117813.735
p81p85;2018;119812.8875
p81p85;2019;120166.7635
p86p90;1980;86221.8225
p86p90;1981;87143.405
p86p90;1982;85155.72
p86p90;1983;87635.8048
p86p90;1984;92932.0663
p86p90;1985;94810.6373
p86p90;1986;96346.814
p86p90;1987;97827.9555
p86p90;1988;99248.412
p86p90;1989;101049.195
p86p90;1990;101565.576
p86p90;1991;101410.825
p86p90;1992;102769.1993
p86p90;1993;104099.328
p86p90;1994;107814.6755
p86p90;1995;110343.192
p86p90;1996;113328.369
p86p90;1997;116243.4388
p86p90;1998;119623.867
p86p90;1999;123255.6545
p86p90;2000;126540.572
p86p90;2001;127002.3348
p86p90;2002;126878.6465
p86p90;2003;129081.295
p86p90;2004;132269.033
p86p90;2005;134680.224
p86p90;2006;137562.0455
p86p90;2007;135528.349
p86p90;2008;134097.3825
p86p90;2009;131524.338
p86p90;2010;134159.2493
p86p90;2011;136336.1805
p86p90;2012;136399.402
p86p90;2013;139480.82
p86p90;2014;141795.5978
p86p90;2015;143742.5535
p86p90;2016;144112.114
p86p90;2017;143499.252
p86p90;2018;145981.4063
p86p90;2019;147209.7375
p91p95;1980;109094.3775
p91p95;1981;110580.19
p91p95;1982;107446.482
p91p95;1983;110530.4998
p91p95;1984;119251.5128
p91p95;1985;121445.94
p91p95;1986;122939.6485
p91p95;1987;124938.6353
p91p95;1988;127797.2775
p91p95;1989;129185.6475
p91p95;1990;129677.4765
p91p95;1991;130427.645
p91p95;1992;132498.3215
p91p95;1993;134385.536
p91p95;1994;139876.1825
p91p95;1995;143590.704
p91p95;1996;148950.5903
p91p95;1997;152988.0413
p91p95;1998;158666.53
p91p95;1999;163483.655
p91p95;2000;167708.944
p91p95;2001;167386.4353
p91p95;2002;166975.3108
p91p95;2003;169193.45
p91p95;2004;173945.5183
p91p95;2005;178170.713
p91p95;2006;183484.3975
p91p95;2007;180366.3208
p91p95;2008;177412.0238
p91p95;2009;172531.2078
p91p95;2010;177512.0198
p91p95;2011;181186.2195
p91p95;2012;182135.7
p91p95;2013;186920.5175
p91p95;2014;190711.983
p91p95;2015;192983.8073
p91p95;2016;193468.4305
p91p95;2017;192959.793
p91p95;2018;197020.8313
p91p95;2019;199332.889
