Downloaded from wid.world on 23-09-2025 at 20:51:55
Percentile ;Year ;"aptinc_999_j_US
Pre-tax national income 
P51-55 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
USA"
p51p55;1980;41376.195
p51p55;1981;41176.23
p51p55;1982;39697.593
p51p55;1983;39811.3308
p51p55;1984;41649.8458
p51p55;1985;42230.0655
p51p55;1986;42743.4565
p51p55;1987;43319.7105
p51p55;1988;43944.327
p51p55;1989;44625.0188
p51p55;1990;44737.218
p51p55;1991;43969.365
p51p55;1992;44216.4103
p51p55;1993;44896.64
p51p55;1994;46363.4537
p51p55;1995;46418.024
p51p55;1996;46723.0995
p51p55;1997;47905.3463
p51p55;1998;49382.729
p51p55;1999;50514.6125
p51p55;2000;51792.468
p51p55;2001;52272.8777
p51p55;2002;52332.7355
p51p55;2003;52659.085
p51p55;2004;53220.676
p51p55;2005;53110.505
p51p55;2006;53507.7405
p51p55;2007;52953.4418
p51p55;2008;52017.1263
p51p55;2009;50644.429
p51p55;2010;50773.515
p51p55;2011;51200.487
p51p55;2012;50795.623
p51p55;2013;50683.4375
p51p55;2014;50773.9695
p51p55;2015;51755.7008
p51p55;2016;51438.8615
p51p55;2017;53069.25
p51p55;2018;53850.9187
p51p55;2019;54522.125
p56p60;1980;45359.6175
p56p60;1981;45319.75
p56p60;1982;43704.921
p56p60;1983;44263.077
p56p60;1984;46262.5322
p56p60;1985;47198.3085
p56p60;1986;47755.7185
p56p60;1987;48340.2067
p56p60;1988;48876.8535
p56p60;1989;49768.2413
p56p60;1990;50027.0918
p56p60;1991;49298.985
p56p60;1992;49800.0525
p56p60;1993;50223.36
p56p60;1994;52021.3668
p56p60;1995;52200.2
p56p60;1996;52853.4353
p56p60;1997;53743.2738
p56p60;1998;55444.147
p56p60;1999;56576.366
p56p60;2000;58053.096
p56p60;2001;58500.3325
p56p60;2002;59109.6365
p56p60;2003;59312.76
p56p60;2004;60264.589
p56p60;2005;60125.1
p56p60;2006;60683.108
p56p60;2007;59648.7045
p56p60;2008;58939.5575
p56p60;2009;57825.3555
p56p60;2010;57803.694
p56p60;2011;58344.741
p56p60;2012;58081.051
p56p60;2013;57779.1188
p56p60;2014;58204.3065
p56p60;2015;58879.9673
p56p60;2016;59352.5325
p56p60;2017;60286.668
p56p60;2018;61204.0563
p56p60;2019;61719.0455
p61p65;1980;49728.5325
p61p65;1981;49851.725
p61p65;1982;48213.165
p61p65;1983;48842.016
p61p65;1984;51417.8878
p61p65;1985;52442.565
p61p65;1986;53046.4395
p61p65;1987;53647.5885
p61p65;1988;54407.262
p61p65;1989;55214.0063
p61p65;1990;55619.244
p61p65;1991;54924.695
p61p65;1992;55383.6948
p61p65;1993;56006.656
p61p65;1994;57679.2798
p61p65;1995;57982.376
p61p65;1996;58983.771
p61p65;1997;59924.6087
p61p65;1998;61683.842
p61p65;1999;63189.188
p61p65;2000;64693.156
p61p65;2001;65105.2087
p61p65;2002;65698.2903
p61p65;2003;66536.75
p61p65;2004;67699.8305
p61p65;2005;67340.112
p61p65;2006;68063.486
p61p65;2007;67155.5143
p61p65;2008;66257.5563
p61p65;2009;65006.282
p61p65;2010;65419.7213
p61p65;2011;65885.898
p61p65;2012;65568.852
p61p65;2013;65888.4687
p61p65;2014;66047.44
p61p65;2015;66842.3827
p61p65;2016;67266.2035
p61p65;2017;67928.64
p61p65;2018;68989.7312
p61p65;2019;69352.143
p66p70;1980;54611.4375
p66p70;1981;54772.155
p66p70;1982;53222.325
p66p70;1983;54056.9188
p66p70;1984;56708.9105
p66p70;1985;57962.835
p66p70;1986;58754.849
p66p70;1987;59385.2985
p66p70;1988;60087.141
p66p70;1989;61113.585
p66p70;1990;61513.6748
p66p70;1991;60994.54
p66p70;1992;61570.974
p66p70;1993;61942.144
p66p70;1994;63651.5213
p66p70;1995;64246.4
p66p70;1996;65611.161
p66p70;1997;66621.055
p66p70;1998;68636.645
p66p70;1999;70536.768
p66p70;2000;71902.364
p66p70;2001;72464.928
p66p70;2002;72851.6857
p66p70;2003;74331.055
p66p70;2004;75526.4005
p66p70;2005;75557.209
p66p70;2006;76263.906
p66p70;2007;75473.871
p66p70;2008;74564.4737
p66p70;2009;73132.0672
p66p70;2010;73816.8795
p66p70;2011;74419.3125
p66p70;2012;74068.518
p66p70;2013;74606.02
p66p70;2014;74922.5648
p66p70;2015;76062.0218
p66p70;2016;76429.4015
p66p70;2017;76844.274
p66p70;2018;77640.4812
p66p70;2019;77857.5945
p71p75;1980;60136.83
p71p75;1981;60728.465
p71p75;1982;58982.859
p71p75;1983;59907.7853
p71p75;1984;62678.2695
p71p75;1985;63897.1253
p71p75;1986;65159.406
p71p75;1987;65696.7795
p71p75;1988;66514.3725
p71p75;1989;67920.7912
p71p75;1990;68012.6625
p71p75;1991;67656.565
p71p75;1992;68210.981
p71p75;1993;68942.976
p71p75;1994;70881.0768
p71p75;1995;71795.352
p71p75;1996;73066.9748
p71p75;1997;74862.835
p71p75;1998;76837.387
p71p75;1999;78802.7955
p71p75;2000;80439.584
p71p75;2001;81145.6225
p71p75;2002;81699.3065
p71p75;2003;83075.885
p71p75;2004;84526.956
p71p75;2005;84976.808
p71p75;2006;85694.389
p71p75;2007;85212.435
p71p75;2008;83860.31
p71p75;2009;82391.683
p71p75;2010;83190.4515
p71p75;2011;84341.8875
p71p75;2012;84187.168
p71p75;2013;84945.4413
p71p75;2014;85655.2738
p71p75;2015;86957.9588
p71p75;2016;87258.6355
p71p75;2017;87245.847
p71p75;2018;88237.65
p71p75;2019;88543.931
