Downloaded from wid.world on 20-11-2025 at 20:23:05
Percentile ;Year ;"aptinc_999_j_WO-PPP
Pre-tax national income 
P26-30 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
World (PPP)"
p26p30;2008;1967.225
p26p30;2024;3033.9265
p31p35;2008;2383.3688
p31p35;2024;3630.7645
p36p40;2008;2837.3438
p36p40;2024;4277.339
p41p45;2008;3404.8125
p41p45;2024;5073.123
p46p50;2008;4161.4375
p46p50;2024;6067.853
