Downloaded from wid.world on 20-11-2025 at 20:24:17
Percentile ;Year ;"aptinc_999_j_WO-PPP
Pre-tax national income 
P51-55 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
World (PPP)"
p51p55;2008;5031.5562
p51p55;2024;7261.529
p56p60;2008;6128.6625
p56p60;2024;8803.3605
p61p65;2008;7528.4188
p61p65;2024;10991.7665
p66p70;2008;9268.6562
p66p70;2024;14125.166
p71p75;2008;11538.5313
p71p75;2024;18004.613
