Downloaded from wid.world on 20-11-2025 at 20:25:13
Percentile ;Year ;"aptinc_999_j_WO-PPP
Pre-tax national income 
P76-80 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
World (PPP)"
p76p80;2008;15208.1625
p76p80;2024;22679.844
p81p85;2008;21298.9938
p81p85;2024;29394.2715
p86p90;2008;31097.2875
p86p90;2024;39988.146
p91p95;2008;47099.9063
p91p95;2024;57147.2385
p96p99;2008;91501.1833
p96p99;2024;110282.3993
